#,Category,Disease,Key Symptoms,Primary Medicine(s),Frequency per Day,Time,Duration (Days),Precautions / Notes
1,Infectious Diseases,Influenza,"Fever, chills, body aches, fatigue, cough, sore throat, runny nose",Oseltamivir (Tamiflu) 75mg,2x/day,8:00 AM (Morning) & 9:00 PM (Night),5,"Rest, hydration, avoid contact with others; annual flu vaccine recommended"
2,Infectious Diseases,COVID-19,"Fever, dry cough, fatigue, loss of taste/smell, breathlessness",Nirmatrelvir/Ritonavir (Paxlovid) 300mg/100mg,2x/day,8:00 AM (Morning) & 9:00 PM (Night),5,"Isolation, mask use, hydration, monitor O2 saturation; vaccination strongly advised"
3,Infectious Diseases,Tuberculosis,"Persistent cough >3 weeks, hemoptysis, night sweats, weight loss, fever",Isoniazid + Rifampicin + Pyrazinamide + Ethambutol (HRZE),1x/day,8:00 AM (Morning),180 (6 months),Complete full course; DOT (Directly Observed Therapy) recommended; avoid alcohol
4,Infectious Diseases,Pneumonia,"High fever, productive cough, chest pain, dyspnea, fatigue",Amoxicillin-Clavulanate 875mg OR Azithromycin 500mg,2x/day (Amox) / 1x/day (Azithro),8:00 AM (Morning) & 9:00 PM (Night),7–14,"Rest, hydration, follow-up chest X-ray; hospitalize if SpO2 <94%"
5,Infectious Diseases,Malaria,"Cyclical fever, chills, sweating, headache, vomiting, anemia",Artemether + Lumefantrine (Coartem) 20/120mg,2x/day,8:00 AM (Morning) & 9:00 PM (Night),3,"Avoid mosquito exposure, use nets and repellents; test before treatment"
6,Infectious Diseases,Dengue Fever,"High fever, severe headache, retro-orbital pain, rash, myalgia, thrombocytopenia",No antiviral; Paracetamol 500mg for fever,3–4x/day,"8:00 AM (Morning), 1:00 PM (Afternoon) & 9:00 PM (Night)",5–7,AVOID Aspirin/NSAIDs (bleeding risk); monitor platelets; IV fluids if needed
7,Infectious Diseases,Typhoid Fever,"Sustained fever, abdominal pain, rose spots, constipation/diarrhea, headache",Ceftriaxone 2g IV OR Azithromycin 1g oral,1x/day,8:00 AM (Morning),10–14,"Boil drinking water, hand hygiene; typhoid vaccine available"
8,Infectious Diseases,Cholera,"Profuse watery diarrhea ('rice water'), vomiting, rapid dehydration",ORS (Oral Rehydration Salts) + Doxycycline 300mg (single dose),Continuous ORS / Single dose antibiotic,Continuous (administered throughout the day),3–5,Strict water/food hygiene; IV fluids for severe cases; cholera vaccine
9,Infectious Diseases,Hepatitis B,"Jaundice, fatigue, abdominal pain, dark urine, nausea",Tenofovir 300mg OR Entecavir 0.5mg (chronic phase),1x/day,8:00 AM (Morning),Long-term / lifelong,Avoid alcohol; hepatitis B vaccine for contacts; monitor liver function
10,Infectious Diseases,Hepatitis C,"Fatigue, jaundice, right upper quadrant pain, dark urine",Sofosbuvir + Velpatasvir (Epclusa) 400/100mg,1x/day,8:00 AM (Morning),84 (12 weeks),Avoid alcohol; no vaccine available; screen close contacts
